,Unnamed: 0,loc,title,author,is_foreign
157,157,43247_38173,心霊殺人事件,坂口安吾,False
158,158,250_20149,男女同権,太宰治,False
159,159,45861_32938,文学のふるさと,坂口安吾,False
165,165,54572_57897,錢形平次捕物控,野村胡堂,False
166,166,51781_46604,正に芸術の試煉期,小川未明,False
167,167,42910_30027,道鏡,坂口安吾,False
175,175,50995_46414,めくら星,小川未明,False
176,176,43477_16619,ガチヨウノ　タンジヨウビ,新美南吉,False
178,178,43376_26116,合理的、同時に多量の人間味,芥川龍之介,False
181,181,48392_44380,河伯令嬢,泉鏡花,False
182,182,57295_58743,私の履歴書,中谷宇吉郎,False
183,183,54602_56496,錢形平次捕物控,野村胡堂,False
184,184,3379_20506,崩れる鬼影,海野十三,False
186,186,51802_46584,新童話論,小川未明,False
187,187,146_15197,死後,芥川龍之介,False
188,188,2235_11894,中国怪奇小説集,岡本綺堂,False
190,190,52974_63551,さかずきの輪廻,小川未明,False
192,192,54663_59461,錢形平次捕物控,野村胡堂,False
193,193,45479_21425,異妖編,岡本綺堂,False
197,197,42536_22792,文学以前,豊島与志雄,False
199,199,45717_24338,おみな,坂口安吾,False
201,201,42403_32964,群集,豊島与志雄,False
205,205,49996_37879,鱧・穴子・鰻の茶漬け,北大路魯山人,False
208,208,45914_34349,小林さんと私のツキアイ,坂口安吾,False
210,210,52032_41191,手紙,坂本龍馬,False
214,214,79_14954,きりしとほろ上人伝,芥川龍之介,False
216,216,43574_18869,木曽の旅人,岡本綺堂,False
217,217,4635_18082,黒百合,泉鏡花,False
220,220,82_15191,古千屋,芥川龍之介,False
222,222,42270_16628,阿芳の怨霊,田中貢太郎,False
223,223,54172_46728,『玩具』あとがき,太宰治,False
227,227,42833_26845,遺恨,坂口安吾,False
228,228,42631_22950,金の目銀の目,豊島与志雄,False
229,229,47200_33642,副詞表情の発生,折口信夫,False
236,236,45362_40781,船の中の鼠,牧野信一,False
238,238,52686_45474,無題,太宰治,False
242,242,42693_18075,科学上における権威の価値と弊害,寺田寅彦,False
